,City,State,Station,Size
0,Seattle,WA,USW00094290,City
1,Miami,FL,USW00012839,City
2,New York City,NY,USW00094728,City
3,White Plains,NY,USW00094745,City
4,Brookhaven,NY,USW00054790,Town
5,Syracuse,NY,USW00014771,City
6,Buffalo,NY,USW00014733,City
7,Erie,PA,USW00014860,Erie
8,Pittsburgh,PA,USW00014762,City
9,San Francisco,CA,USW00023272,City
10,West Lafayette,IN,USC00129430,Town
11,Cleveland,OH,USW00014820,City
12,Portland,OR,USC00356750,City
13,Detroit,MI,CA006139520,City
14,Forks,WA,USC00452914,Town
15,Boston,MA,USW00014739,City
16,Madison,WI,USC00470273,City
17,Woods Hole,MA,US1MABA0003,Town
18,Monterey,CA,USW00023259,Town
19,Richland,WA,USW00024163,Town
20,Cincinnati,OH,USW00093812,City
21,Rochester,NY,USC00309049,City
22,Astoria,OR,USW00094224,Town
23,Annette,AK,USW00025325,Town
24,Columbus,OH,USW00014821,City
25,New Orleans,LA,USW00012916,City
26,Houston,TX,USW00012960,City
27,Port Arthur,TX,USW00012917,Town
28,Lake Jackson,TX,USW00012976,Town
29,Sequim,WA,USC00457544,Town
30,Spokane,WA,USW00024157,City
31,Quillayute,WA,USW00094240,Town
32,Aberdeen,WA,USC00450008,Town
33,Hoquiam,WA,USW00094225,Town
34,Conneaut,OH,USW00004857,Town
35,Driggs,ID,USC00480140,Town
36,Norton,VA,USC00449215,Town
37,Dunkirk,NY,USW00014747,Town
38,West Palm,FL,USW00012844,Town
39,Presque Isle,ME,USW00014607,Town
40,Brassau Dam,ME,USC00170814,Town
41,Chicago,IL,USC00111577,City
